entry_id,source_file,status,content_level,source_url_status,runtime_role,review_ref,notes
PR001,prompt-corpus/famous-prompts.md,reviewed,structured-review,present,pattern-source,restoration-audit-2026-07-22,Structured local entry reviewed; no controlled comparison yet.
PR024,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR025,prompt-corpus/famous-prompts-pr021-pr040.md,reviewed,structured-review,present,pattern-source,restoration-audit-2026-07-22,Structured local entry reviewed; no controlled comparison yet.
PR026,prompt-corpus/famous-prompts-pr021-pr040.md,reviewed,excerpt-or-paraphrase,present,active+pattern-source,restoration-audit-2026-07-22,Local corpus entry plus active card reviewed; upstream effectiveness unverified.
PR027,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR028,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR029,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR030,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR031,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR032,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR033,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR034,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR035,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR036,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR037,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR038,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR039,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR040,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR041,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR042,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR043,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR044,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR045,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR046,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR047,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR048,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR049,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR050,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR051,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR052,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR053,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR054,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR055,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR056,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR057,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR058,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR059,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR060,prompt-corpus/famous-prompts-pr041-pr060.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR061,prompt-corpus/famous-prompts-pr061-pr080.md,recovered,evidence-note,present,pattern-source,local-evidence-note,Local evidence note and safety boundary present; upstream source not reverified.
PR062,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR063,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR064,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR065,prompt-corpus/famous-prompts-pr061-pr080.md,reviewed,excerpt-or-paraphrase,present,active-source,restoration-audit-2026-07-22,Local corpus entry plus active card reviewed; upstream effectiveness unverified.
PR066,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR067,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR068,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR069,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR070,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR071,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR072,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR073,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR074,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR075,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR076,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR077,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR078,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR079,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR080,prompt-corpus/famous-prompts-pr061-pr080.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR081,prompt-corpus/famous-prompts-pr081-pr100.md,recovered,evidence-note,present,none,local-evidence-note,Local evidence note and safety boundary present; upstream source not reverified.
PR082,prompt-corpus/famous-prompts-pr081-pr100.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR083,prompt-corpus/famous-prompts-pr081-pr100.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR084,prompt-corpus/famous-prompts-pr081-pr100.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR085,prompt-corpus/famous-prompts-pr081-pr100.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR086,prompt-corpus/famous-prompts-pr081-pr100.md,reviewed,excerpt-or-paraphrase,present,active+pattern-source,restoration-audit-2026-07-22,Local corpus entry plus active card reviewed; upstream effectiveness unverified.
PR087,prompt-corpus/famous-prompts-pr081-pr100.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR088,prompt-corpus/famous-prompts-pr081-pr100.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR089,prompt-corpus/famous-prompts-pr081-pr100.md,reviewed,excerpt-or-paraphrase,present,active+pattern-source,restoration-audit-2026-07-22,Local corpus entry plus active card reviewed; upstream effectiveness unverified.
PR090,prompt-corpus/famous-prompts-pr081-pr100.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR091,prompt-corpus/famous-prompts-pr081-pr100.md,reviewed,excerpt-or-paraphrase,present,active+pattern-source,restoration-audit-2026-07-22,Local corpus entry plus active card reviewed; upstream effectiveness unverified.
PR092,prompt-corpus/famous-prompts-pr081-pr100.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR093,prompt-corpus/famous-prompts-pr081-pr100.md,reviewed,excerpt-or-paraphrase,present,active+pattern-source,restoration-audit-2026-07-22,Local corpus entry plus active card reviewed; upstream effectiveness unverified.
PR094,prompt-corpus/famous-prompts-pr081-pr100.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR095,prompt-corpus/famous-prompts-pr081-pr100.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR096,prompt-corpus/famous-prompts-pr081-pr100.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR097,prompt-corpus/famous-prompts-pr081-pr100.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR098,prompt-corpus/famous-prompts-pr081-pr100.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR099,prompt-corpus/famous-prompts-pr081-pr100.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR100,prompt-corpus/famous-prompts-pr081-pr100.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR101,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR102,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR103,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR104,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR105,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR106,prompt-corpus/famous-prompts-pr101-pr120.md,recovered,evidence-note,present,pattern-source,local-evidence-note,Local evidence note and safety boundary present; upstream source not reverified.
PR107,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR108,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR109,prompt-corpus/famous-prompts-pr101-pr120.md,recovered,evidence-note,present,pattern-source,local-evidence-note,Local evidence note and safety boundary present; upstream source not reverified.
PR110,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR111,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR112,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR113,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR114,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR115,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR116,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR117,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR118,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR119,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR120,prompt-corpus/famous-prompts-pr101-pr120.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR121,prompt-corpus/famous-prompts-pr121-pr130.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR122,prompt-corpus/famous-prompts-pr121-pr130.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR123,prompt-corpus/famous-prompts-pr121-pr130.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR124,prompt-corpus/famous-prompts-pr121-pr130.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR125,prompt-corpus/famous-prompts-pr121-pr130.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR126,prompt-corpus/famous-prompts-pr121-pr130.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR127,prompt-corpus/famous-prompts-pr121-pr130.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR128,prompt-corpus/famous-prompts-pr121-pr130.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR129,prompt-corpus/famous-prompts-pr121-pr130.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR130,prompt-corpus/famous-prompts-pr121-pr130.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
